OrthologID	GeneSymbol(2019)	TAEGU_ENSEMBL_gID_rel67
3447	ERMARD	ENSTGUG00000009754
3449	KITLG	ENSTGUG00000008039
3450	HACL1	ENSTGUG00000003040
3451	IL23R	
3456	WARS	ENSTGUG00000012762
3457	WLS	ENSTGUG00000010207
3458	OXNAD1	ENSTGUG00000003132
3460	DAZL	ENSTGUG00000003145
3462	ATP2B1	ENSTGUG00000008087
3463	PPP2R5C	ENSTGUG00000012785
3466	EFHB	ENSTGUG00000003223
3467	C12orf74	ENSTGUG00000008208
3468	EEA1	ENSTGUG00000008213
3471	NUDT4	ENSTGUG00000008253
3472	DACT2	ENSTGUG00000009658
3473	NKIRAS1	ENSTGUG00000003322
3476	MRPL42	ENSTGUG00000008272
3477	THRB	ENSTGUG00000003371
3478	LRRC40	ENSTGUG00000010302
3479	SRSF11	ENSTGUG00000010284
3481	PLXNC1	ENSTGUG00000008290
3482	ANKRD13C	ENSTGUG00000010275
3483	DNPEP	ENSTGUG00000006003
3485	NEK10	
3488	AFDN	ENSTGUG00000009578
3489	CTH	ENSTGUG00000010266
3490	ANKZF1	ENSTGUG00000005834
3491	RETREG2	ENSTGUG00000005734
3496	FGD6	ENSTGUG00000008398
3497	ENSGALT00000018514	
3498	ZRANB2	ENSTGUG00000010351
3500	CFAP65	ENSTGUG00000005692
3504	WDR20	ENSTGUG00000012810
3507	STK36	
3508	RNF25	ENSTGUG00000005569
3509	BCS1L	ENSTGUG00000005562
3510	REST	ENSTGUG00000004749
3513	USP44	ENSTGUG00000008455
3514	CNOT9	ENSTGUG00000005493
3515	HOPX	ENSTGUG00000004818
3520	AMDHD1	ENSTGUG00000008491
3522	AZI2	ENSTGUG00000003562
3527	TGFBR2	ENSTGUG00000003590
3528	ERI1	ENSTGUG00000004898
3530	C12orf63	ENSTGUG00000008673
3531	RPS6KA2	ENSTGUG00000009488
3533	SMARCAL1	ENSTGUG00000005079
3535	CMTM8	ENSTGUG00000003684
3537	DYNC1LI1	ENSTGUG00000003697
3538	XRCC5	ENSTGUG00000005014
3539	TCAIM	ENSTGUG00000003788
3540	MAP3K2	ENSTGUG00000004975
3541	TMPO	ENSTGUG00000008719
3542	NUP54	ENSTGUG00000001685
3543	IKBIP	ENSTGUG00000008755
3545	PPEF2	ENSTGUG00000001676
3548	CYP27C1	ENSTGUG00000004904
3549	ZFYVE21	ENSTGUG00000012879
3551	SH3BP5	ENSTGUG00000003964
3552	UTP3	ENSTGUG00000001660
3557	GRSF1	ENSTGUG00000001644
3562	ATP2C1	ENSTGUG00000004081
3563	KIF26A	ENSTGUG00000012894
3570	IGF2R	ENSTGUG00000011428
3571	ADAMTS3	ENSTGUG00000001593
3572	PNLDC1	ENSTGUG00000011418
3573	MRPL18	ENSTGUG00000011414
3575	TCP1	
3578	PLD4	ENSTGUG00000012908
3581	TSN	ENSTGUG00000004445
3583	ALB	ENSTGUG00000001572
3585	SOD2	ENSTGUG00000011381
3586	NUP205	ENSTGUG00000009105
3587	FNDC1	ENSTGUG00000011376
3588	HSPBAP1	ENSTGUG00000004406
3589	DNAJC13	ENSTGUG00000004305
3592	DEPDC7	ENSTGUG00000004967
3594	CSTF3	ENSTGUG00000005010
3595	TCP11L1	ENSTGUG00000004982
3598	NPHP3	
3600	UBA5	ENSTGUG00000004432
3602	CCDC14	
3603	AKAP5	ENSTGUG00000012935
3604	STRA8	ENSTGUG00000009183
3605	WDR91	ENSTGUG00000009190
3606	TOPBP1	ENSTGUG00000004502
3612	UBA6	ENSTGUG00000004506
3613	UMPS	ENSTGUG00000004119
3618	APOLD1	ENSTGUG00000009382
3622	GSG1	ENSTGUG00000009437
3631	SGPP1	ENSTGUG00000012957
3633	GPHB5	ENSTGUG00000012964
3634	IL21	ENSTGUG00000002007
3635	SACM1L	ENSTGUG00000005060
3637	ADAD1	ENSTGUG00000001990
3638	SERHL2	ENSTGUG00000009654
3640	TRPC3	ENSTGUG00000001954
3641	CLEC3B	ENSTGUG00000004984
3642	EXOSC7	ENSTGUG00000004961
3645	QRFPR	ENSTGUG00000001929
3646	SLC38A6	ENSTGUG00000012985
3651	KIF15	ENSTGUG00000004823
3652	TRMT5	ENSTGUG00000012988
3653	CTNNB1	ENSTGUG00000004786
3656	SEPT3	ENSTGUG00000009729
3657	CENPM	ENSTGUG00000009767
3658	MEI1	ENSTGUG00000009814
3659	XRCC6	ENSTGUG00000009852
3660	TMEM186	ENSTGUG00000004650
3662	ENSGALT00000019484	
3663	ACO2	ENSTGUG00000009907
3664	PHF5A	ENSTGUG00000009936
3667	CCR4	ENSTGUG00000018201
3668	TNIP3	ENSTGUG00000001928
3669	NDNF	ENSTGUG00000001927
3671	MAD2L1	ENSTGUG00000001917
3674	SUSD5	ENSTGUG00000001761
3675	L3MBTL2	ENSTGUG00000010000
3677	UBP1	ENSTGUG00000001752
3680	XPNPEP3	ENSTGUG00000010038
3682	ST13	ENSTGUG00000010046
3684	JKAMP	ENSTGUG00000013008
3688	SGSM3	ENSTGUG00000010093
3689	ARID4A	
3690	PSMA3	ENSTGUG00000013036
3694	SLC12A8	ENSTGUG00000004025
3695	LARP7	ENSTGUG00000001804
3696	TRANK1	ENSTGUG00000005694
3697	ENSGALT00000019696	
3698	MLH1	ENSTGUG00000005654
3699	EPDR1	ENSTGUG00000005632
3700	ENSGALT00000019719	
3701	PARP14	ENSTGUG00000003925
3703	ALPK1	ENSTGUG00000001800
3705	TIFA	ENSTGUG00000001799
3706	PARP9	ENSTGUG00000003920
3707	NME8	ENSTGUG00000005610
3708	GPR141	ENSTGUG00000005605
3709	C14orf37	ENSTGUG00000013046
3710	C14orf105	
3712	AP5M1	ENSTGUG00000013050
3713	CCDC73	ENSTGUG00000004942
3714	KIAA0895	ENSTGUG00000005483
3716	RCN1	ENSTGUG00000004868
3717	CACNA1I	
3720	CCDC93	ENSTGUG00000011578
3721	KTN1	ENSTGUG00000013063
3722	SEPT7	ENSTGUG00000005405
3723	TBPL2	ENSTGUG00000013070
3724	ATG14	ENSTGUG00000013072
3726	METTL15	ENSTGUG00000004772
3727	EGF	ENSTGUG00000004206
3729	ACTR3	ENSTGUG00000011659
3730	DLGAP5	ENSTGUG00000013075
3731	MAPK1IP1L	ENSTGUG00000013078
3732	LYPD1	ENSTGUG00000011680
3734	RRH	ENSTGUG00000004188
3735	PLA2G12A	ENSTGUG00000004164
3737	LGR4	ENSTGUG00000004708
3738	CCDC34	ENSTGUG00000004699
3740	GCH1	ENSTGUG00000013083
3741	DNAL4	ENSTGUG00000010285
3742	AVL9	ENSTGUG00000005196
3743	BMPR1B	ENSTGUG00000003164
3746	RAP1GDS1	ENSTGUG00000003238
3747	ZRANB3	ENSTGUG00000011743
3749	ENSGALT00000019963	
3752	LRR1	ENSTGUG00000013217
3753	POLE2	ENSTGUG00000013211
3755	KLHDC1	ENSTGUG00000013206
3757	ENSGALT00000020006	
3762	NEMF	ENSTGUG00000013197
3764	TMEM184B	ENSTGUG00000010424
3765	PLA2G6	ENSTGUG00000010433
3766	L2HGDH	ENSTGUG00000013182
3767	BANK1	ENSTGUG00000003579
3768	C22orf23	ENSTGUG00000010482
3769	SLC39A8	ENSTGUG00000003585
3770	ANKRD54	ENSTGUG00000010502
3771	RAB32	ENSTGUG00000010754
3772	GALR2	ENSTGUG00000010508
3773	GCAT	ENSTGUG00000010511
3775	CISD2	ENSTGUG00000003707
3776	SLC9B2	ENSTGUG00000003710
3781	MRPL32	
3782	SAV1	ENSTGUG00000013155
3789	DARS	ENSTGUG00000011810
3790	LANCL2	
3793	GINM1	ENSTGUG00000011370
3794	FRMD6	ENSTGUG00000013134
3795	RTRAF	ENSTGUG00000013128
3797	NUP43	ENSTGUG00000011345
3801	TXNDC16	ENSTGUG00000013113
3803	PSMC6	ENSTGUG00000013103
3804	STYX	ENSTGUG00000013102
3806	KYNU	ENSTGUG00000011872
3810	IGFBP1	ENSTGUG00000007176
3812	IGFBP3	ENSTGUG00000007179
3816	SSTR3	ENSTGUG00000010658
3817	C1QTNF6	
3818	PRPF39	ENSTGUG00000013235
3820	MMADHC	ENSTGUG00000011984
3823	TNFAIP6	ENSTGUG00000012000
3824	NFX1	ENSTGUG00000007055
3827	KCTD17	ENSTGUG00000010672
3832	STAM2	ENSTGUG00000012089
3833	BRD9	ENSTGUG00000006776
3841	RBFOX2	ENSTGUG00000010808
3842	MCM5	ENSTGUG00000010831
3845	HMGXB4	ENSTGUG00000010863
3846	TRIOBP	ENSTGUG00000010522
3848	IDNK	ENSTGUG00000003199
3849	MARCH7	ENSTGUG00000012253
3850	UBQLN1	ENSTGUG00000003163
3852	KIF27	
3853	SLC28A3	ENSTGUG00000003104
3857	CTSV	ENSTGUG00000000598
3861	RECK	ENSTGUG00000006692
3862	CDC14B	ENSTGUG00000000501
3863	HABP4	ENSTGUG00000000508
3864	MTERF2	ENSTGUG00000011016
3867	KCNG2	ENSTGUG00000006664
3868	POLR3B	ENSTGUG00000011035
3869	ATP9B	ENSTGUG00000006549
3870	SALL3	ENSTGUG00000006541
3871	CKAP4	ENSTGUG00000011066
3872	KIAA0319	ENSTGUG00000006487
3873	NUAK1	ENSTGUG00000011069
3874	GPLD1	ENSTGUG00000006411
3875	MRS2	ENSTGUG00000006397
3877	WASHC4	ENSTGUG00000011083
3879	E2F3	ENSTGUG00000006335
3880	DEK	ENSTGUG00000006271
3882	RANBP9	ENSTGUG00000006110
3884	NUP153	ENSTGUG00000005917
3885	TDG	ENSTGUG00000011175
3886	PAK1IP1	ENSTGUG00000005887
3887	GFOD1	ENSTGUG00000005877
3888	NT5DC3	ENSTGUG00000011210
3889	HIVEP1	
3891	NEDD9	ENSTGUG00000005794
3894	GNPTAB	ENSTGUG00000011324
3895	CHPT1	ENSTGUG00000011346
3898	SLC35B3	ENSTGUG00000002378
3900	EEF1E1-BLOC1S5	ENSTGUG00000002373
3901	BLOC1S5	ENSTGUG00000002370
3902	TXNDC5	ENSTGUG00000002358
3907	SSR1	ENSTGUG00000002319
3908	RPP40	ENSTGUG00000002258
3909	SVOPL	ENSTGUG00000011429
3912	RIPK1	ENSTGUG00000002170
3913	NQO2	
3914	DUSP22	ENSTGUG00000002152
3919	KDM7A	ENSTGUG00000011686
3920	RAB19	ENSTGUG00000011673
3921	MKRN1	ENSTGUG00000011669
3922	WRNIP1	ENSTGUG00000002117
3923	SERPINB10	
3926	WEE2	ENSTGUG00000011610
3927	SSBP1	ENSTGUG00000011595
3931	ZCCHC2	ENSTGUG00000002026
3932	MTPN	ENSTGUG00000011541
3934	PKP2	ENSTGUG00000011516
3938	DNM1L	ENSTGUG00000011505
3939	ETFBKMT	ENSTGUG00000011478
3946	RETREG1	ENSTGUG00000007362
3947	RMND1	ENSTGUG00000011268
3948	DDX11	ENSTGUG00000012673
3949	CCDC170	ENSTGUG00000011261
3950	IQSEC3	ENSTGUG00000012662
3951	CDYL2	ENSTGUG00000004589
3953	SLC6A12	
3954	CCDC77	ENSTGUG00000012628
3955	B4GALNT3	ENSTGUG00000012627
3956	NINJ2	ENSTGUG00000012626
3957	RAD52	ENSTGUG00000012609
3959	SNRNP48	ENSTGUG00000007575
3961	ENSGALT00000021252	ENSTGUG00000003649
3962	CACNA1C	ENSTGUG00000012538
3964	ADA2	ENSTGUG00000012520
3966	BCL2L13	ENSTGUG00000012506
3967	BID	ENSTGUG00000012503
3969	ATPSCKMT	ENSTGUG00000007661
3971	MTRR	ENSTGUG00000007702
3973	NSUN2	ENSTGUG00000007789
3976	CALD1	ENSTGUG00000012449
3977	RERG	ENSTGUG00000012424
3979	IKZF1	ENSTGUG00000007910
3981	STRAP	ENSTGUG00000012395
3983	DERA	ENSTGUG00000012393
3984	SLC15A5	ENSTGUG00000012392
3985	SEC61G	ENSTGUG00000001805
3988	INO80C	ENSTGUG00000008071
3994	RECQL	ENSTGUG00000011730
3995	BCAT1	ENSTGUG00000011740
3997	SLC6A18	ENSTGUG00000008357
3999	TERT	ENSTGUG00000008383
4001	CLPTM1L	ENSTGUG00000008431
4004	ETNK1	ENSTGUG00000011751
4005	CTNNAL1	ENSTGUG00000008579
4013	PDK1	ENSTGUG00000008513
4021	LDHB	ENSTGUG00000012088
4031	SLC5A12	ENSTGUG00000004634
4039	MTCL1	ENSTGUG00000009883
4042	CLUAP1	ENSTGUG00000003841
4044	AHRR	ENSTGUG00000008731
4045	AK8	ENSTGUG00000005193
4050	PBX4	
4052	TULP3	ENSTGUG00000013157
4055	GAN	ENSTGUG00000004495
4059	ENSGALT00000021926	
4061	PLEKHO1	ENSTGUG00000004535
4066	ATMIN	ENSTGUG00000004575
4075	CASC3	ENSTGUG00000002300
4084	MTHFD2	ENSTGUG00000017322
4085	SEC61B	ENSTGUG00000008873
4087	ALG2	ENSTGUG00000008879
4093	PCM1	ENSTGUG00000007108
4094	VIP	ENSTGUG00000011188
4098	GMNN	ENSTGUG00000009018
4099	SCAF8	ENSTGUG00000011151
4100	TDP2	ENSTGUG00000009035
4102	VPS37A	ENSTGUG00000007239
4103	TFB1M	ENSTGUG00000011136
4104	ZDHHC2	ENSTGUG00000007260
4110	EDRF1	ENSTGUG00000011472
4111	CNDP2	ENSTGUG00000009147
4112	CNDP1	ENSTGUG00000009132
4114	DIPK1C	ENSTGUG00000009165
4115	C18orf63	
4116	MRPL45	
4117	TIMM21	ENSTGUG00000009173
4118	SNX9	ENSTGUG00000011096
4119	SYNJ2	ENSTGUG00000011082
4120	PPAT	ENSTGUG00000007413
4121	SYTL3	ENSTGUG00000011055
4123	RSPH3	ENSTGUG00000011030
4125	ENSGALT00000022347	ENSTGUG00000007432
4126	TMX3	ENSTGUG00000009298
4129	DENND6B	ENSTGUG00000016228
4130	PEX3	ENSTGUG00000010992
4138	VTA1	ENSTGUG00000010951
4140	GEMIN6	ENSTGUG00000002093
4143	HECA	ENSTGUG00000010934
4145	GALM	ENSTGUG00000002100
4146	CCDC28A	ENSTGUG00000010912
4147	MED6	ENSTGUG00000011369
4151	AFG3L2	ENSTGUG00000009632
4154	PTPN2	ENSTGUG00000009539
4156	SLC35D3	ENSTGUG00000010879
4164	RNMT	ENSTGUG00000009450
4165	MC2R	ENSTGUG00000009441
4169	KDR	ENSTGUG00000007557
4170	KIT	ENSTGUG00000007686
4171	DCLRE1C	ENSTGUG00000002342
4173	BCLAF1	ENSTGUG00000010835
4175	PDE7B	ENSTGUG00000010811
4177	RASL11B	ENSTGUG00000007863
4178	AHI1	ENSTGUG00000011488
4179	TACR1	ENSTGUG00000015626
4181	IGF2BP2	ENSTGUG00000006719
4182	HBS1L	ENSTGUG00000011507
4187	L3MBTL3	ENSTGUG00000011709
4188	LRMP	ENSTGUG00000012124
4192	DNAJB14	ENSTGUG00000003488
4193	CASC1	
4196	VAPA	ENSTGUG00000009765
4197	GRK6	ENSTGUG00000000396
4198	ENSGALT00000022773	ENSTGUG00000012961
4202	TM7SF3	ENSTGUG00000012183
4204	MED21	ENSTGUG00000012181
4205	ARNTL2	ENSTGUG00000012163
4208	CYB5R3	ENSTGUG00000012143
4211	CNGA1	ENSTGUG00000008154
4212	BIK	
4213	MCAT	ENSTGUG00000012035
4214	TTLL12	ENSTGUG00000012025
4216	OTUD3	ENSTGUG00000017052
4220	CAPRIN1	
4222	ADHFE1	ENSTGUG00000011285
4224	SULT4A1	ENSTGUG00000012001
4225	NME5	ENSTGUG00000001170
4227	GABRG1	ENSTGUG00000008419
4228	TMEM52B	
4231	GUF1	ENSTGUG00000008453
4234	CDPF1	ENSTGUG00000011794
4235	PIDD1	ENSTGUG00000009817
4239	SLC30A9	ENSTGUG00000008589
4241	LIMCH1	ENSTGUG00000008618
4242	UCHL1	ENSTGUG00000008638
4243	NSUN7	ENSTGUG00000008697
4244	SCRN3	ENSTGUG00000008770
4256	RBM34	ENSTGUG00000010234
4259	RELL1	ENSTGUG00000009141
4260	TEAD4	ENSTGUG00000013161
4268	LGALS8	ENSTGUG00000010394
4269	ZCCHC4	ENSTGUG00000009397
4270	PHYKPL	ENSTGUG00000001162
4271	PI4K2B	ENSTGUG00000009404
4272	SEPSECS	ENSTGUG00000009417
4274	LGI2	ENSTGUG00000009434
4275	SOD3	ENSTGUG00000009451
4280	FAM162A	
4281	SLIT2	ENSTGUG00000009575
4282	NCAPG	ENSTGUG00000009641
4287	DHX32	
4288	NCAPD2	ENSTGUG00000013339
4295	COPS7A	ENSTGUG00000013312
4296	MLF2	ENSTGUG00000013310
4299	P3H3	ENSTGUG00000013302
4302	PROM1	ENSTGUG00000009725
4305	CTNND2	
4307	FBXL5	ENSTGUG00000009775
4310	CPEB2	ENSTGUG00000009822
4312	TPI1	
4313	LRRC23	ENSTGUG00000018128
4314	ENO2	ENSTGUG00000013292
4315	HECTD4	ENSTGUG00000006699
4319	BUD23	ENSTGUG00000003541
4324	EMG1	ENSTGUG00000013271
4326	LPCAT3	ENSTGUG00000013269
4340	DAP3	ENSTGUG00000017418
4342	MSTO1	ENSTGUG00000017416
4345	GON4L	ENSTGUG00000017414
4346	RIT1	ENSTGUG00000017411
4347	CETN3	ENSTGUG00000000683
4348	POLR3G	ENSTGUG00000000690
4349	KHDC4	ENSTGUG00000017408
4354	SLF1	ENSTGUG00000000725
4356	TTC37	
4357	CLSTN3	ENSTGUG00000013253
4363	PHAX	ENSTGUG00000006427
4364	CLCN1	ENSTGUG00000013222
4366	DHX29	ENSTGUG00000002464
4371	PLK2	ENSTGUG00000002609
4373	RNF180	ENSTGUG00000002779
4375	TRPV6	ENSTGUG00000013195
4381	TRAPPC13	ENSTGUG00000002856
4385	TGIF1	ENSTGUG00000010020
4386	NAA50	ENSTGUG00000013362
4387	MTX3	ENSTGUG00000003611
4391	TRIM45	ENSTGUG00000013366
4392	JMY	ENSTGUG00000003723
4393	VTCN1	ENSTGUG00000013367
4398	C6	ENSTGUG00000002207
4401	C5orf51	ENSTGUG00000002256
4402	FBXO4	ENSTGUG00000002262
4404	SMPDL3A	ENSTGUG00000011820
4406	MRPS30	ENSTGUG00000002337
4409	MCM9	ENSTGUG00000011874
4413	NUS1	ENSTGUG00000011892
4414	METTL16	ENSTGUG00000013370
4416	MOCS2	ENSTGUG00000002421
4417	HSPB3	ENSTGUG00000002451
4419	RFX6	ENSTGUG00000011924
4421	USP14	ENSTGUG00000010223
4425	ABHD3	ENSTGUG00000010308
4426	GFM2	ENSTGUG00000005985
4429	ANKRD31	ENSTGUG00000006074
4431	TRAPPC3L	ENSTGUG00000011937
4432	POC5	ENSTGUG00000006224
4436	FSTL1	ENSTGUG00000013377
4439	RBBP8	ENSTGUG00000010362
4443	OTOP1	ENSTGUG00000009909
4444	TMEM128	ENSTGUG00000009913
4446	MAB21L3	ENSTGUG00000013387
4448	RMC1	ENSTGUG00000010413
4449	STX18	ENSTGUG00000009937
4450	TMEM174	ENSTGUG00000005844
4452	EVC2	ENSTGUG00000009975
4453	NPC1	ENSTGUG00000010427
4454	PDCD1LG2	
4455	MFSD4B	ENSTGUG00000012028
4456	RIC1	ENSTGUG00000005013
4458	CHD1L	ENSTGUG00000013392
4464	TTC39C	ENSTGUG00000010516
4468	ARHGAP31	ENSTGUG00000013398
4474	SS18	ENSTGUG00000010587
4475	QTRT2	ENSTGUG00000013406
4476	CDH2	ENSTGUG00000010620
4478	ILDR1	ENSTGUG00000013414
4479	DSG2	ENSTGUG00000010683
4480	ALDH1A1	ENSTGUG00000000800
4487	GAREM1	ENSTGUG00000010770
4496	CCDC181	ENSTGUG00000013428
4497	BLZF1	ENSTGUG00000013429
4499	NME7	ENSTGUG00000013430
4500	ENSGALT00000024584	
4502	TBX19	ENSTGUG00000013434
4504	DCBLD2	ENSTGUG00000013637
4506	PPIP5K2	ENSTGUG00000000931
4507	OPRK1	ENSTGUG00000010985
4509	TBC1D23	ENSTGUG00000013633
4510	TCEA1	ENSTGUG00000011012
4512	ENSGALT00000024665	
4513	CEP57L1	ENSTGUG00000012107
4515	TOMM70	ENSTGUG00000013631
4521	OSTM1	ENSTGUG00000012154
4523	SEC63	ENSTGUG00000012155
4527	CLTA	ENSTGUG00000000114
4529	RPL24	ENSTGUG00000013618
4530	CEP97	ENSTGUG00000013617
4532	ALCAM	ENSTGUG00000013613
4534	BBX	ENSTGUG00000013611
4537	TMEM175	ENSTGUG00000000170
4539	THAP1	ENSTGUG00000000237
4543	FNTA	ENSTGUG00000000273
4549	IMPAD1	ENSTGUG00000011114
4551	NIPSNAP3A	ENSTGUG00000000307
4553	MPZL1	ENSTGUG00000013504
4554	CD247	ENSTGUG00000013507
4556	ZNF462	ENSTGUG00000006352
4557	CA8	ENSTGUG00000011176
4559	PTGFRN	ENSTGUG00000013515
4561	ASPH	ENSTGUG00000011226
4562	POGLUT1	ENSTGUG00000013522
4563	ACP6	ENSTGUG00000013525
4564	COQ3	ENSTGUG00000012290
4565	FBXL4	ENSTGUG00000012295
4566	HTR1F	ENSTGUG00000013530
4567	VGLL3	ENSTGUG00000013533
4572	PDE7A	ENSTGUG00000011264
4573	WFS1	ENSTGUG00000010045
4576	KIAA0232	ENSTGUG00000010100
4577	PLPPR1	ENSTGUG00000000645
4580	CCDC125	ENSTGUG00000017531
4581	HTRA3	ENSTGUG00000010252
4586	TRMT44	ENSTGUG00000010279
4587	MAP3K7	ENSTGUG00000012360
4590	ZCCHC9	ENSTGUG00000006994
4591	GJA10	
4594	CASP8AP2	
4597	LACTB2	ENSTGUG00000011483
4599	MSANTD1	ENSTGUG00000010397
4600	SBSPON	ENSTGUG00000011517
4604	ELOC	ENSTGUG00000011561
4605	LY96	ENSTGUG00000011566
4606	MFSD10	ENSTGUG00000010470
4610	SAMSN1	ENSTGUG00000013543
4611	UGCG	ENSTGUG00000001274
4613	NAT8L	
4614	NSD2	ENSTGUG00000010558
4615	LETM1	ENSTGUG00000010569
4616	SLBP	ENSTGUG00000010626
4617	C21orf91	ENSTGUG00000013549
4619	CHODL	ENSTGUG00000013550
4622	ENSGALT00000025369	
4625	HEY1	ENSTGUG00000011633
4626	MRPS28	
4627	MRPL39	ENSTGUG00000013553
4629	TPD52	ENSTGUG00000011636
4630	LYRM2	ENSTGUG00000012404
4631	RRAGD	ENSTGUG00000012410
4632	PTCD3	ENSTGUG00000010760
4635	AKIRIN2	ENSTGUG00000012437
4636	ADAMTS1	ENSTGUG00000013483
4637	ENSGALT00000025467	
4639	ORC3	ENSTGUG00000012439
4641	SLC35A1	ENSTGUG00000012459
4643	SMIM8	ENSTGUG00000012467
4644	LRRCC1	ENSTGUG00000011701
4645	E2F5	ENSTGUG00000011713
4648	NT5E	ENSTGUG00000012495
4650	CEP162	ENSTGUG00000012509
4651	MRAP2	
4654	RIPPLY2	ENSTGUG00000012518
4655	SNAP91	ENSTGUG00000012523
4657	SCAF4	ENSTGUG00000013464
4658	FAM46A	
4660	ELOVL4	ENSTGUG00000012582
4661	HUNK	ENSTGUG00000013465
4662	CPNE3	ENSTGUG00000011769
4663	URB1	ENSTGUG00000013442
4666	HTR1B	ENSTGUG00000012613
4668	SENP6	ENSTGUG00000012629
4669	OSGIN2	ENSTGUG00000011801
4670	NBN	ENSTGUG00000011805
4671	DECR1	ENSTGUG00000011815
4672	SLC17A5	ENSTGUG00000018160
4673	OTUD6B	ENSTGUG00000011837
4674	CGAS	ENSTGUG00000012683
4675	PAXBP1	
4676	C21orf62	
4681	EIF2AK3	ENSTGUG00000010877
4682	SMAP1	ENSTGUG00000012718
4683	RPIA	ENSTGUG00000010898
4686	DPY19L4	ENSTGUG00000011910
4687	DONSON	
4688	UQCRB	ENSTGUG00000011958
4689	MTERF3	ENSTGUG00000011961
4690	ATP5PO	ENSTGUG00000000461
4691	KCNE2	
4693	KCNE1	ENSTGUG00000016311
4694	RCAN1	
4697	ENSGALT00000025808	
4699	SETD4	ENSTGUG00000004731
4701	CBR1	ENSTGUG00000004746
4706	ETS2	ENSTGUG00000005028
4707	KLF10	ENSTGUG00000012120
4710	SLC25A32	ENSTGUG00000012149
4711	DCAF13	ENSTGUG00000012152
4713	DCSTAMP	ENSTGUG00000012176
4719	RAB11FIP5	
4720	EIF3E	ENSTGUG00000012216
4731	EIF3H	ENSTGUG00000012302
4733	SH3BGR	ENSTGUG00000005133
4737	IGSF5	ENSTGUG00000005147
4743	PRDM15	ENSTGUG00000005437
4744	C2CD2	ENSTGUG00000005496
4745	TFF2	ENSTGUG00000005579
4749	RSPH1	ENSTGUG00000005646
4752	PDE9A	ENSTGUG00000005695
4763	DDX3X	ENSTGUG00000006442
4764	MED14	ENSTGUG00000006619
4766	LRRC6	ENSTGUG00000012554
4768	RPGR	ENSTGUG00000006724
4769	AC100868.1	ENSTGUG00000012542
4771	CXorf22	ENSTGUG00000006861
4772	TMEM47	
4775	ZNF451	ENSTGUG00000012796
4778	HMGCLL1	ENSTGUG00000012832
4780	POLA1	ENSTGUG00000007103
4781	GCM1	ENSTGUG00000012867
4782	FBXO9	ENSTGUG00000012870
4783	MTSS1	ENSTGUG00000012488
4784	NDUFB9	ENSTGUG00000012480
4785	TATDN1	ENSTGUG00000012477
4789	FAM91A1	ENSTGUG00000012458
4790	ERICH1	ENSTGUG00000012937
4791	PRDX4	ENSTGUG00000007332
4792	TMEM18	ENSTGUG00000012952
4794	FBXO32	ENSTGUG00000012442
4797	ENSGALT00000026420	ENSTGUG00000012429
4798	FAM83A	ENSTGUG00000012428
4799	TBC1D31	ENSTGUG00000012420
4802	TRAPPC12	ENSTGUG00000012974
4805	CMPK2	ENSTGUG00000012989
4807	BCLAF3	
4808	ASAP2	ENSTGUG00000013006
4809	IAH1	ENSTGUG00000013025
4811	TAF1B	ENSTGUG00000013037
4814	RRM2	ENSTGUG00000013042
4818	GEN1	ENSTGUG00000013117
4819	OSR1	
4823	ITSN2	ENSTGUG00000013193
4825	FNDC4	ENSTGUG00000014667
4827	ADGRG2	ENSTGUG00000007677
4834	PPEF1	ENSTGUG00000007736
4835	HADHA	ENSTGUG00000014477
4838	NHS	ENSTGUG00000007798
4839	RBBP7	ENSTGUG00000007826
4840	TXLNG	ENSTGUG00000007846
4842	TMEM27	ENSTGUG00000007974
4843	ACE2	ENSTGUG00000007990
4844	HADHB	ENSTGUG00000014433
4851	GEMIN8	ENSTGUG00000008162
4852	OFD1	ENSTGUG00000008193
4857	CCDC25	
4860	PRPS2	ENSTGUG00000008257
4863	ENSGALT00000026789	
4865	DNAJC27	
4872	FBXO16	ENSTGUG00000013334
4877	MTMR9	ENSTGUG00000013306
4879	GYG2	ENSTGUG00000010753
4880	BLK	ENSTGUG00000013299
4881	NEIL2	ENSTGUG00000013295
4885	TRAM2	ENSTGUG00000013281
4886	PAQR8	ENSTGUG00000013277
4887	MCM3	ENSTGUG00000013275
4888	IL17A	ENSTGUG00000013272
4889	PKHD1	
4892	AKAP17A	ENSTGUG00000010729
4893	ASMTL	ENSTGUG00000010718
4895	MMUT	ENSTGUG00000013257
4897	PPP2R3B	ENSTGUG00000010681
4900	PLCXD1	ENSTGUG00000010637
4902	EVA1A	
4903	MRPL19	ENSTGUG00000013204
4904	GCFC2	ENSTGUG00000013201
4905	SLC9A7	ENSTGUG00000010570
4906	CYFIP1	ENSTGUG00000010510
4907	GABRA5	ENSTGUG00000010368
4910	TMEM131	ENSTGUG00000010237
4912	LIPT1	ENSTGUG00000010145
4914	LONRF2	ENSTGUG00000010057
4916	CNOT11	ENSTGUG00000009952
4917	RNF149	ENSTGUG00000009945
4919	MAP4K4	ENSTGUG00000009900
4920	IL18R1	ENSTGUG00000009861
4921	IL18RAP	ENSTGUG00000009856
4923	MFSD9	ENSTGUG00000009811
4925	C2orf49	ENSTGUG00000009750
4926	C2orf40	ENSTGUG00000009727
4927	GCC2	ENSTGUG00000009650
4930	UPF3A	ENSTGUG00000009493
4931	RASA3	ENSTGUG00000009356
