# Data description
In this text, 5 types of species combinations were included: 1 set of avian vocal learners, 1 set of birds of prey, 1 set of waterbirds, 59 sets as core control, and 1,000 sets as random control.

# Set of vocal learning birds (n=6)
TAEGU,GEOFO,CORBR,MELUN,NESNO,CALAN
CORBR,GEOFO,HALLE,MANVI,PHACA,TAEGU
CALAN,CHAPE,CHLUN,CUCCA,PTEGU,TAUER
BALRE,CHAVO,CHLUN,OPHHO,PTEGU,TAUER
CATAU,COLLI,MERNU,MESUN,PICPU,PTEGU
CALAN,CAPCA,CHAPE,PHORU,PODCR,STRCA
BUCRH,FULGL,GEOFO,MERNU,PICPU,TAEGU
EGRGA,MERNU,NIPNI,PELCR,PICPU,TYTAL
CHLUN,CORBR,GEOFO,PICPU,TAEGU,TAUER
CALAN,CATAU,GEOFO,HALAL,HALLE,TAEGU
APAVI,BUCRH,EGRGA,MELGA,MERNU,PICPU
APAVI,BUCRH,GEOFO,MERNU,OPHHO,PICPU
APAVI,BUCRH,CUCCA,MERNU,PICPU,STRCA
CORBR,GEOFO,MANVI,NIPNI,TAEGU,TYTAL
APAVI,BUCRH,HALLE,MERNU,PICPU,PYGAD
CORBR,EGRGA,GEOFO,PELCR,TAEGU,TYTAL
APAVI,BALRE,BUCRH,GEOFO,MERNU,PICPU
ANAPL,EGRGA,GALGA,MELGA,PELCR,PHORU
BALRE,CHAVO,COLLI,LEPDI,MESUN,PTEGU
BALRE,CHAVO,EURHE,GALGA,MELGA,OPHHO
CALAN,EGRGA,NIPNI,PELCR,PHACA,TYTAL
BUCRH,GALGA,GEOFO,MELGA,MERNU,PICPU
CHLUN,COLLI,MESUN,PTEGU,TAUER,TINMA
EGRGA,FULGL,HALAL,HALLE,NIPNI,PELCR
CHLUN,CUCCA,MELUN,NESNO,OPHHO,TAUER
APTFO,FULGL,PYGAD,STRCA,TAEGU,TINMA
BUCRH,CATAU,CHLUN,HALAL,HALLE,TAUER
BALRE,CHAVO,EURHE,FALPE,OPHHO,PHALE
BUCRH,CALAN,CAPCA,CHAPE,GALGA,MELGA
CHAPE,CHLUN,CUCCA,HALAL,HALLE,TAUER
CALAN,CAPCA,CHAPE,MELUN,MERNU,NESNO
CORBR,EGRGA,GALGA,MELGA,NIPNI,PELCR
APAVI,BUCRH,FALPE,MERNU,OPHHO,PICPU
BALRE,CAPCA,CHAVO,GEOFO,OPHHO,TAEGU
ANAPL,CALAN,CHAPE,GALGA,MELGA,TINMA
APAVI,BUCRH,CALAN,GEOFO,MERNU,PICPU
BUCRH,CHAVO,MERNU,MESUN,PICPU,PTEGU
CATAU,CHLUN,HALAL,HALLE,MESUN,PTEGU
APAVI,BUCRH,MANVI,MERNU,PICPU,TYTAL
APAVI,BUCRH,MERNU,PICPU,TAUER,TINMA
APTFO,EGRGA,NIPNI,PELCR,PTEGU,PYGAD
APTFO,COLLI,MERNU,MESUN,PTEGU,PYGAD
CARCR,EGRGA,NIPNI,PELCR,PHACA,PHALE
BUCRH,CHLUN,GALGA,MELGA,MERNU,PICPU
ANAPL,APTFO,FULGL,HALAL,HALLE,PYGAD
CALAN,CAPCA,CHAPE,MELUN,STRCA,TINMA
CORBR,EURHE,GEOFO,LEPDI,PHALE,TAEGU
ANAPL,CATAU,HALAL,HALLE,MELUN,NESNO
APTFO,FULGL,GALGA,MELGA,PTEGU,PYGAD
CHLUN,CORBR,GEOFO,TAEGU,TAUER,TINMA
ANAPL,CHAVO,GALGA,MELGA,MELUN,NESNO
CHAVO,CORBR,GEOFO,MANVI,PHACA,TAEGU
CATAU,GALGA,HALAL,HALLE,MELGA,PYGAD
CORBR,EGRGA,NIPNI,PELCR,PHACA,PTEGU
CORBR,GEOFO,MESUN,PTEGU,TAEGU,TAUER
GALGA,MELGA,MELUN,NESNO,PHORU,PODCR
CUCCA,EGRGA,HALLE,NIPNI,PELCR,PHACA
ANAPL,CHLUN,GALGA,MELGA,PHACA,TAUER
CORBR,GEOFO,MANVI,OPHHO,PHACA,TAEGU
CALAN,CAPCA,CHAPE,CUCCA,HALAL,HALLE
BUCRH,CORBR,GEOFO,MANVI,MELGA,TAEGU
COLLI,EURHE,MESUN,NIPNI,PHALE,PTEGU
CORBR,GEOFO,MANVI,OPHHO,PHALE,TAEGU
APTFO,CALAN,CHAPE,FULGL,PICPU,PYGAD
BALRE,CHAVO,CORBR,GEOFO,PHACA,TAEGU
CATAU,GEOFO,HALAL,HALLE,STRCA,TAEGU
ANAPL,EGRGA,GALGA,MELGA,MERNU,PELCR
APTFO,CALAN,CAPCA,CHAPE,GEOFO,PYGAD
COLST,EGRGA,EURHE,NIPNI,PELCR,PHACA
EGRGA,FULGL,NIPNI,PELCR,PHACA,TAEGU
APTFO,CALAN,CHAPE,FULGL,PYGAD,TAUER
ANAPL,CORBR,EGRGA,GEOFO,MANVI,TAEGU
CORBR,GEOFO,PHORU,PODCR,TAEGU,TYTAL
APAVI,BUCRH,COLST,GEOFO,MERNU,PICPU
ANAPL,CORBR,GALGA,GEOFO,MANVI,TAEGU
EGRGA,NIPNI,PELCR,PHACA,PHORU,PTEGU
APTFO,CHLUN,CUCCA,GEOFO,PYGAD,TAUER
BALRE,CHAVO,COLLI,COLST,MESUN,PTEGU
ANAPL,GALGA,HALAL,HALLE,MELGA,PHALE
APTFO,BALRE,CALAN,CHAPE,FULGL,PYGAD
EGRGA,FALPE,HALAL,NIPNI,PELCR,PHACA
APTFO,CHAPE,EGRGA,NIPNI,PELCR,PHACA
APTFO,CALAN,CHAPE,FULGL,PHORU,PYGAD
EGRGA,HALAL,HALLE,NIPNI,PELCR,PODCR
APAVI,CORBR,GEOFO,MESUN,PTEGU,TAEGU
CHLUN,CUCCA,EGRGA,EURHE,PHALE,TAUER
BUCRH,CHLUN,CUCCA,MESUN,PTEGU,TAUER
BALRE,CALAN,CHAPE,CHAVO,GEOFO,OPHHO
COLLI,GEOFO,MESUN,OPHHO,PTEGU,TAEGU
BUCRH,COLST,GEOFO,MERNU,PICPU,TAEGU
CORBR,GALGA,GEOFO,HALAL,MELGA,TAEGU
COLLI,CUCCA,MERNU,MESUN,PICPU,PTEGU
APTFO,CALAN,FULGL,MERNU,PICPU,PYGAD
CHLUN,CUCCA,HALLE,MESUN,PTEGU,TAUER
CORBR,GEOFO,MELGA,MESUN,PTEGU,TAEGU
CATAU,CHLUN,HALAL,HALLE,PHORU,PODCR
COLLI,EGRGA,MERNU,MESUN,PICPU,PTEGU
CALAN,CAPCA,CHAPE,EGRGA,GALGA,MELGA
BUCRH,CHLUN,MERNU,PELCR,PICPU,TAUER
EGRGA,NIPNI,PELCR,PHACA,PTEGU,STRCA
CHLUN,MERNU,PICPU,STRCA,TAUER,TINMA
EGRGA,FULGL,GEOFO,NIPNI,PELCR,TAEGU
CALAN,CHAPE,CORBR,GEOFO,PHACA,TAEGU
CHLUN,CORBR,GEOFO,LEPDI,TAEGU,TAUER
CHLUN,CUCCA,MESUN,PODCR,PTEGU,TAUER
APTFO,CHLUN,CUCCA,MELUN,PYGAD,TAUER
APTFO,COLLI,GEOFO,MESUN,PTEGU,TAEGU
APTFO,CHLUN,CUCCA,HALLE,PYGAD,TAUER
CALAN,CATAU,CHAPE,FULGL,HALAL,HALLE
APTFO,EURHE,FULGL,GEOFO,PYGAD,TAEGU
CALAN,CAPCA,CHAPE,CHLUN,GEOFO,TAUER
APAVI,BUCRH,GALGA,MELUN,MERNU,PICPU
CHAVO,CORBR,GEOFO,MANVI,MERNU,TAEGU
EGRGA,FULGL,NIPNI,PELCR,PHACA,PYGAD
CHLUN,CUCCA,EGRGA,PELCR,PHORU,TAUER
APAVI,BUCRH,MELUN,MERNU,PICPU,PODCR
BALRE,CARCR,CATAU,CHAVO,HALAL,HALLE
BALRE,CALAN,CHAPE,CHAVO,COLST,OPHHO
BUCRH,GALGA,MELUN,MERNU,NESNO,PICPU
BALRE,CHAVO,MELUN,NESNO,OPHHO,TAEGU
CHAPE,EGRGA,HALAL,NIPNI,PELCR,PHACA
CHLUN,EGRGA,NIPNI,PELCR,PHACA,PTEGU
APTFO,EGRGA,EURHE,FULGL,PELCR,PYGAD
EGRGA,NIPNI,PELCR,PODCR,STRCA,TINMA
APTFO,CATAU,EURHE,FULGL,PHALE,PYGAD
ANAPL,CHLUN,GALGA,GAVST,MELGA,TAUER
ANAPL,BALRE,CORBR,GEOFO,MANVI,TAEGU
BALRE,CHAVO,MELUN,OPHHO,PHORU,PODCR
APAVI,APTFO,BUCRH,COLLI,MERNU,PICPU
BALRE,CHAVO,GALGA,MELGA,MESUN,PTEGU
EGRGA,EURHE,LEPDI,NIPNI,PELCR,PHACA
CALAN,CATAU,HALAL,HALLE,MESUN,PTEGU
APAVI,BUCRH,CHLUN,MELGA,MERNU,PICPU
CORBR,GEOFO,MELUN,NESNO,TAEGU,TAUER
ANAPL,EURHE,GALGA,MANVI,MELGA,PHALE
COLLI,GEOFO,MESUN,PHORU,PTEGU,TAEGU
CUCCA,EGRGA,NIPNI,PELCR,PHACA,PYGAD
APAVI,CARCR,EGRGA,NIPNI,PELCR,PHACA
EGRGA,EURHE,HALLE,NIPNI,PELCR,PHACA
BUCRH,EGRGA,NESNO,NIPNI,PELCR,PHACA
CHLUN,CORBR,CUCCA,PHORU,PODCR,TAUER
ANAPL,GALGA,GEOFO,MELGA,PICPU,TAEGU
CORBR,GEOFO,MANVI,PHALE,PYGAD,TAEGU
APTFO,BALRE,CHAVO,CHLUN,OPHHO,PYGAD
BALRE,CALAN,CAPCA,CHAPE,CHAVO,TAEGU
APTFO,CALAN,CAPCA,CHAPE,LEPDI,PYGAD
BALRE,CHAVO,MELUN,MESUN,OPHHO,PTEGU
APAVI,BALRE,BUCRH,CARCR,MERNU,PICPU
APAVI,BUCRH,FALPE,HALAL,MERNU,PICPU
BALRE,CHAVO,EGRGA,GALGA,MELGA,PELCR
APAVI,BUCRH,CARCR,CHAVO,MERNU,PICPU
ANAPL,COLST,GALGA,HALAL,HALLE,MELGA
EGRGA,GAVST,GEOFO,NIPNI,PELCR,PHACA
CHLUN,EGRGA,FALPE,NIPNI,PELCR,PHACA
CALAN,CHAPE,COLST,CORBR,GEOFO,TAEGU
APAVI,APTFO,BUCRH,CHAVO,MERNU,PICPU
CORBR,EURHE,GEOFO,MANVI,PICPU,TAEGU
APAVI,BUCRH,CARCR,MERNU,NIPNI,PICPU
BUCRH,COLLI,HALAL,HALLE,MESUN,PTEGU
BALRE,EGRGA,EURHE,NIPNI,PELCR,PHALE
APAVI,BUCRH,CALAN,COLST,MERNU,PICPU
COLLI,GALGA,MELGA,MESUN,PTEGU,TINMA
CHLUN,CUCCA,GAVST,HALAL,HALLE,TAUER
CORBR,GEOFO,MANVI,PICPU,PYGAD,TAEGU
EGRGA,NESNO,NIPNI,PELCR,PHACA,TYTAL
BUCRH,CORBR,GEOFO,MANVI,PYGAD,TAEGU
BALRE,CALAN,CAPCA,CHAPE,CHAVO,PYGAD
APTFO,BALRE,CHAVO,COLLI,MESUN,PTEGU
CATAU,EURHE,HALAL,HALLE,PHALE,PYGAD
CHLUN,CUCCA,MERNU,OPHHO,PICPU,TAUER
BALRE,CHAVO,EGRGA,MERNU,NIPNI,PELCR
CHLUN,GALGA,MELGA,MERNU,PICPU,TAUER
ANAPL,APTFO,FULGL,MESUN,PTEGU,PYGAD
APAVI,BUCRH,CALAN,GALGA,MERNU,PICPU
CATAU,CUCCA,HALAL,HALLE,MELUN,NESNO
BALRE,EGRGA,NIPNI,PELCR,PHACA,PHALE
APAVI,BUCRH,COLST,MERNU,PICPU,PYGAD
APTFO,BUCRH,EGRGA,MERNU,PELCR,PICPU
APAVI,BUCRH,CHAVO,FULGL,MERNU,PICPU
CAPCA,COLLI,MESUN,PTEGU,STRCA,TINMA
APTFO,FULGL,HALAL,HALLE,MERNU,PYGAD
CALAN,CAPCA,CHAPE,MELUN,NESNO,NIPNI
BALRE,CHAVO,MERNU,OPHHO,PICPU,TAEGU
APAVI,COLLI,HALAL,HALLE,MESUN,PTEGU
CHLUN,CORBR,CUCCA,STRCA,TAUER,TINMA
BALRE,BUCRH,CHAVO,MERNU,PICPU,TAEGU
EURHE,GALGA,MELGA,PHALE,STRCA,TINMA
APTFO,CORBR,GALGA,GEOFO,MANVI,TAEGU
CORBR,GEOFO,LEPDI,MANVI,PELCR,TAEGU
BALRE,CHAVO,GAVST,OPHHO,PHORU,PODCR
APTFO,BALRE,CHAVO,FALPE,FULGL,PYGAD
BUCRH,MERNU,PHORU,PICPU,PODCR,PYGAD
GEOFO,MERNU,MESUN,PICPU,PTEGU,TAEGU
CHLUN,EGRGA,GEOFO,NIPNI,PELCR,TAUER
CATAU,EGRGA,GALGA,HALAL,HALLE,PELCR
BUCRH,EURHE,MERNU,OPHHO,PHALE,PICPU
BUCRH,CORBR,GEOFO,HALAL,MANVI,TAEGU
BALRE,CHAVO,HALAL,HALLE,STRCA,TINMA
BALRE,CHAVO,HALAL,HALLE,MERNU,OPHHO
APAVI,CATAU,HALAL,HALLE,PHORU,PODCR
BALRE,CARCR,CHAVO,HALAL,HALLE,OPHHO
CALAN,CORBR,GEOFO,MERNU,PICPU,TAEGU
ANAPL,COLLI,MERNU,MESUN,PICPU,PTEGU
APAVI,BUCRH,CORBR,MERNU,PICPU,TINMA
CHAVO,CORBR,GEOFO,MANVI,PHALE,TAEGU
APTFO,FULGL,GALGA,HALAL,MELGA,PYGAD
APTFO,COLLI,FULGL,GEOFO,PYGAD,TAEGU
BALRE,COLLI,CORBR,GEOFO,MANVI,TAEGU
APTFO,BALRE,CHAVO,MANVI,OPHHO,PYGAD
EGRGA,GEOFO,NIPNI,PELCR,PHACA,PICPU
ANAPL,FALPE,GALGA,HALAL,HALLE,MELGA
CHAVO,CHLUN,CUCCA,PHORU,PODCR,TAUER
APAVI,BUCRH,MERNU,NESNO,PICPU,TAEGU
ANAPL,CORBR,EURHE,GALGA,MELGA,PHALE
CORBR,GALGA,GEOFO,MANVI,PICPU,TAEGU
COLLI,FULGL,MELUN,MESUN,NESNO,PTEGU
CAPCA,CORBR,GEOFO,MANVI,TAEGU,TYTAL
EGRGA,GAVST,NIPNI,PELCR,PHACA,TYTAL
ANAPL,GALGA,HALLE,MELGA,PHORU,PODCR
ANAPL,GALGA,MELGA,PHALE,PHORU,PODCR
COLLI,MERNU,MESUN,PICPU,PTEGU,PYGAD
APTFO,BALRE,CHAVO,EGRGA,NIPNI,PELCR
BALRE,CHAVO,CHLUN,CUCCA,PTEGU,TAUER
APAVI,BUCRH,MERNU,PHORU,PICPU,TAUER
CATAU,CHLUN,HALAL,HALLE,TAEGU,TAUER
APTFO,CALAN,CHAPE,COLLI,FULGL,PYGAD
APTFO,FULGL,GEOFO,PHORU,PODCR,PYGAD
CATAU,EGRGA,HALAL,HALLE,PELCR,PYGAD
CHLUN,CORBR,GALGA,GEOFO,TAEGU,TAUER
CALAN,CHAPE,EGRGA,NIPNI,PELCR,PODCR
COLLI,CORBR,GALGA,GEOFO,MANVI,TAEGU
APTFO,FULGL,PELCR,PYGAD,STRCA,TINMA
EGRGA,EURHE,HALAL,HALLE,PELCR,PHALE
CHLUN,CUCCA,EGRGA,HALAL,PELCR,TAUER
APAVI,BUCRH,MERNU,PICPU,PYGAD,TYTAL
APTFO,CHLUN,FULGL,PYGAD,TAUER,TYTAL
CALAN,CHAPE,CORBR,EGRGA,NIPNI,PELCR
CATAU,CHLUN,EGRGA,HALAL,HALLE,PELCR
CHLUN,CUCCA,GEOFO,PTEGU,TAEGU,TAUER
BALRE,CAPCA,CHAVO,EURHE,OPHHO,PHALE
CHAVO,EGRGA,NIPNI,PELCR,PHACA,TAEGU
BUCRH,HALLE,MERNU,PICPU,STRCA,TINMA
CORBR,GALGA,GEOFO,MELGA,PHACA,TAEGU
APTFO,EURHE,FULGL,PHALE,PYGAD,STRCA
EGRGA,HALAL,HALLE,NESNO,NIPNI,PELCR
CATAU,CHAPE,HALAL,HALLE,MESUN,PTEGU
EURHE,MELUN,MESUN,NESNO,PHALE,PTEGU
ANAPL,CORBR,EGRGA,GEOFO,PELCR,TAEGU
EGRGA,GEOFO,MERNU,PELCR,PICPU,TAEGU
APAVI,BUCRH,CATAU,MERNU,PHALE,PICPU
ANAPL,COLLI,GEOFO,MESUN,PTEGU,TAEGU
APAVI,BUCRH,CARCR,MERNU,NESNO,PICPU
ANAPL,EGRGA,MELGA,NIPNI,PELCR,PHACA
ANAPL,EGRGA,NIPNI,PELCR,PHACA,PHALE
CALAN,CAPCA,CHAPE,MELUN,NESNO,TINMA
ANAPL,GALGA,HALAL,HALLE,LEPDI,MELGA
APAVI,BUCRH,CHLUN,GEOFO,MERNU,PICPU
APTFO,FULGL,PHORU,PODCR,PYGAD,STRCA
APTFO,CORBR,GEOFO,MANVI,MERNU,TAEGU
BALRE,CHAVO,CORBR,GEOFO,HALLE,TAEGU
APAVI,BUCRH,MERNU,PICPU,PTEGU,TINMA
CATAU,EGRGA,EURHE,NIPNI,PELCR,PHACA
EGRGA,NIPNI,PELCR,PHACA,PYGAD,TAUER
APAVI,BUCRH,MERNU,NESNO,PHACA,PICPU
CHLUN,COLST,CUCCA,HALAL,HALLE,TAUER
BUCRH,CORBR,GEOFO,MANVI,PICPU,TAEGU
BALRE,CHAVO,MERNU,MESUN,OPHHO,PTEGU
CHLUN,CUCCA,GEOFO,MERNU,PICPU,TAUER
CATAU,HALAL,HALLE,MERNU,MESUN,PTEGU
ANAPL,GALGA,HALAL,HALLE,MELGA,PHACA
CALAN,CAPCA,CHAPE,EURHE,NIPNI,PHALE
CORBR,FULGL,GALGA,GEOFO,MELGA,TAEGU
ANAPL,APTFO,EGRGA,FULGL,PELCR,PYGAD
CHLUN,CUCCA,GALGA,MANVI,MELGA,TAUER
BUCRH,CHAPE,CORBR,GEOFO,MANVI,TAEGU
APAVI,BUCRH,HALLE,MERNU,PICPU,TYTAL
CALAN,CATAU,CHAPE,HALAL,HALLE,TAUER
CORBR,GALGA,GEOFO,MANVI,NIPNI,TAEGU
CALAN,CAPCA,CHAPE,MELUN,NESNO,PTEGU
BUCRH,EURHE,MERNU,MESUN,PHALE,PICPU
CHLUN,CUCCA,HALLE,MELUN,NESNO,TAUER
APAVI,EGRGA,NIPNI,PELCR,PHACA,PODCR
APTFO,FULGL,PHORU,PODCR,PTEGU,PYGAD
APAVI,BUCRH,MERNU,NIPNI,PICPU,PTEGU
CORBR,GEOFO,HALAL,HALLE,PYGAD,TAEGU
CALAN,CHAPE,MERNU,MESUN,PICPU,PTEGU
ANAPL,FALPE,GALGA,MELGA,MESUN,PTEGU
CHAPE,COLLI,EGRGA,NIPNI,PELCR,PHACA
EGRGA,EURHE,NIPNI,PELCR,PHALE,TAUER
COLLI,GEOFO,MELUN,MESUN,NESNO,PTEGU
BALRE,BUCRH,CHAVO,GEOFO,OPHHO,TAEGU
CALAN,CAPCA,CHAPE,HALAL,HALLE,NESNO
CHLUN,CORBR,GEOFO,PHORU,TAEGU,TAUER
CALAN,CATAU,CHAPE,HALAL,HALLE,PHORU
CALAN,CAPCA,CHAPE,EURHE,PHALE,PODCR
CATAU,EGRGA,HALAL,HALLE,PHORU,PODCR
BUCRH,EURHE,MERNU,PICPU,STRCA,TINMA
APAVI,BUCRH,HALAL,MERNU,NESNO,PICPU
APTFO,EGRGA,HALAL,HALLE,NIPNI,PELCR
BUCRH,CHAVO,MERNU,PICPU,STRCA,TINMA
APTFO,BALRE,CHAVO,FULGL,GALGA,PYGAD
ANAPL,APAVI,GALGA,MELGA,MELUN,NESNO
APAVI,BUCRH,CORBR,HALAL,MERNU,PICPU
COLLI,CORBR,CUCCA,GEOFO,MANVI,TAEGU
BUCRH,MERNU,MESUN,PICPU,PTEGU,TAUER
CATAU,EGRGA,EURHE,NIPNI,PELCR,PHALE
CORBR,GAVST,GEOFO,MANVI,PICPU,TAEGU
ANAPL,CHLUN,GALGA,MELGA,PHALE,TAUER
CATAU,CORBR,GEOFO,MANVI,MERNU,TAEGU
APTFO,BUCRH,MELGA,MERNU,PICPU,PYGAD
ANAPL,APTFO,BALRE,GALGA,MELGA,PYGAD
CALAN,CHAPE,COLLI,MELUN,MESUN,PTEGU
CALAN,CAPCA,CHAPE,EGRGA,EURHE,PHALE
CATAU,HALAL,HALLE,MERNU,PELCR,PICPU
BUCRH,HALAL,HALLE,MERNU,PICPU,PODCR
ANAPL,BUCRH,GALGA,HALAL,HALLE,MELGA
BALRE,CHAVO,CORBR,GEOFO,MERNU,TAEGU
ANAPL,EGRGA,GALGA,MELGA,MELUN,PELCR
CALAN,CAPCA,CHAPE,EGRGA,MESUN,PELCR
CHLUN,CUCCA,EGRGA,NESNO,PELCR,TAUER
CALAN,CAPCA,CHAPE,FALPE,MERNU,PICPU
APTFO,EGRGA,EURHE,NIPNI,PELCR,PYGAD
BALRE,CAPCA,CHAVO,CORBR,GEOFO,TAEGU
EURHE,HALAL,HALLE,MESUN,PHALE,PTEGU
BUCRH,CALAN,CHAPE,MERNU,PICPU,PODCR
BALRE,CHAVO,COLST,HALAL,HALLE,OPHHO
CALAN,CAPCA,CHAPE,EURHE,GEOFO,PHALE
CATAU,HALAL,HALLE,LEPDI,PHORU,PODCR
CHLUN,CUCCA,GALGA,MELGA,OPHHO,TAUER
EGRGA,HALAL,HALLE,LEPDI,NIPNI,PELCR
BALRE,CALAN,CHAPE,CHAVO,HALAL,HALLE
APAVI,BUCRH,GAVST,MERNU,MESUN,PICPU
EGRGA,HALLE,NIPNI,PELCR,PHACA,PTEGU
BALRE,CHAVO,MANVI,MESUN,OPHHO,PTEGU
APTFO,FULGL,HALAL,HALLE,PHALE,PYGAD
APTFO,CHLUN,CORBR,GEOFO,MANVI,TAEGU
BALRE,CHAVO,CHLUN,MESUN,PTEGU,TAUER
APAVI,BUCRH,MERNU,MESUN,PICPU,PYGAD
CORBR,GEOFO,PHORU,PODCR,STRCA,TAEGU
EGRGA,GALGA,MERNU,NIPNI,PELCR,PHACA
APTFO,FULGL,GEOFO,HALAL,HALLE,PYGAD
CORBR,GALGA,GEOFO,MELGA,TAEGU,TINMA
COLLI,CORBR,GEOFO,MELUN,NESNO,TAEGU
CALAN,CAPCA,CHAPE,FALPE,GALGA,MELGA
CHLUN,CUCCA,EGRGA,NIPNI,PELCR,PHACA
BALRE,CHAVO,HALAL,HALLE,OPHHO,TYTAL
APAVI,BUCRH,COLST,MERNU,PICPU,TAUER
CUCCA,EGRGA,MELGA,NIPNI,PELCR,PHACA
APAVI,BUCRH,COLLI,CUCCA,MERNU,PICPU
BALRE,BUCRH,CALAN,CAPCA,CHAPE,CHAVO
EGRGA,MESUN,NIPNI,OPHHO,PELCR,PHACA
EGRGA,MANVI,NIPNI,PELCR,PHACA,TYTAL
CHLUN,PHORU,PODCR,STRCA,TAUER,TINMA
CHLUN,EGRGA,NESNO,NIPNI,PELCR,TAUER
CHAVO,CORBR,GEOFO,STRCA,TAEGU,TINMA
ANAPL,GALGA,GEOFO,MELGA,OPHHO,TAEGU
APTFO,BUCRH,MERNU,NESNO,PICPU,PYGAD
CALAN,CAPCA,CHAPE,HALAL,HALLE,PELCR
APAVI,COLST,EGRGA,NIPNI,PELCR,PHACA
CHLUN,CORBR,GEOFO,NIPNI,TAEGU,TAUER
COLST,CORBR,GEOFO,MANVI,NIPNI,TAEGU
CATAU,CUCCA,HALAL,HALLE,PHORU,PODCR
CHLUN,COLLI,CORBR,GEOFO,MANVI,TAEGU
EURHE,GEOFO,MELUN,NESNO,PHALE,TAEGU
APAVI,BUCRH,MERNU,PHACA,PICPU,STRCA
BALRE,BUCRH,CHAVO,GAVST,MERNU,PICPU
BUCRH,CHAPE,EURHE,MERNU,PHALE,PICPU
BUCRH,MANVI,MERNU,PHORU,PICPU,PODCR
BALRE,CHAVO,EGRGA,FALPE,OPHHO,PELCR
APTFO,CAPCA,EGRGA,NIPNI,PELCR,PHACA
ANAPL,GALGA,GEOFO,MELGA,PELCR,TAEGU
BALRE,COLLI,MELUN,MESUN,NESNO,PTEGU
APTFO,EGRGA,HALAL,NIPNI,PELCR,PYGAD
APTFO,BUCRH,MERNU,PHORU,PICPU,PYGAD
BALRE,CHAVO,GALGA,MELGA,MERNU,OPHHO
BUCRH,EGRGA,MERNU,MESUN,PELCR,PICPU
CALAN,CAPCA,CHAPE,EURHE,MANVI,PHALE
BALRE,EGRGA,NIPNI,PELCR,PHORU,PODCR
BUCRH,CAPCA,CHLUN,MERNU,PICPU,TAUER
APAVI,BUCRH,GEOFO,MERNU,PHORU,PICPU
BUCRH,CHLUN,HALAL,MERNU,PICPU,TAUER
APTFO,CHAVO,CORBR,GEOFO,PYGAD,TAEGU
APTFO,CALAN,CAPCA,CHAPE,GALGA,PYGAD
APTFO,CHAPE,FULGL,HALAL,HALLE,PYGAD
CALAN,CAPCA,CHAPE,EGRGA,GEOFO,TAEGU
BALRE,CHAVO,GAVST,GEOFO,OPHHO,TAEGU
EGRGA,MANVI,NIPNI,PELCR,PHACA,PHORU
APTFO,BALRE,CHAVO,OPHHO,PYGAD,TAUER
CHLUN,GEOFO,MELUN,NESNO,TAEGU,TAUER
CORBR,GEOFO,MESUN,PHORU,PTEGU,TAEGU
BALRE,CORBR,GEOFO,MANVI,MELUN,TAEGU
APTFO,CALAN,CHAPE,FULGL,NIPNI,PYGAD
CUCCA,EGRGA,EURHE,NIPNI,PELCR,PHACA
EGRGA,GALGA,MELGA,NIPNI,PELCR,PICPU
CORBR,GEOFO,MANVI,PHACA,PICPU,TAEGU
CHLUN,MERNU,PHORU,PICPU,PODCR,TAUER
BALRE,CATAU,CHAVO,CHLUN,CUCCA,TAUER
ANAPL,BALRE,CHAVO,GALGA,MELGA,TYTAL
ANAPL,CALAN,CAPCA,CHAPE,MELUN,NESNO
APAVI,EGRGA,NIPNI,PELCR,PHACA,STRCA
APAVI,BUCRH,CHAPE,MERNU,PICPU,PYGAD
CHLUN,EGRGA,HALAL,NIPNI,PELCR,TAUER
CHLUN,CUCCA,MELUN,NESNO,PICPU,TAUER
CATAU,GEOFO,HALAL,HALLE,NESNO,TAEGU
ANAPL,CATAU,HALAL,HALLE,MESUN,PTEGU
EGRGA,MANVI,NIPNI,PELCR,STRCA,TINMA
CALAN,CAPCA,CHAPE,CHLUN,STRCA,TINMA
ANAPL,CALAN,GALGA,GEOFO,MELGA,TAEGU
CHLUN,EGRGA,NIPNI,PELCR,PHACA,PICPU
CALAN,CAPCA,CARCR,CHAPE,MESUN,PTEGU
APTFO,CARCR,COLLI,MESUN,PTEGU,PYGAD
ANAPL,CORBR,GEOFO,MANVI,NIPNI,TAEGU
ANAPL,APTFO,FULGL,PHORU,PODCR,PYGAD
APAVI,CORBR,GEOFO,MANVI,PHALE,TAEGU
EGRGA,EURHE,GEOFO,NIPNI,PELCR,PHALE
CHLUN,CUCCA,FULGL,PHORU,PODCR,TAUER
COLLI,GEOFO,MESUN,PTEGU,TAEGU,TAUER
COLLI,EGRGA,MESUN,PELCR,PTEGU,TYTAL
APTFO,EURHE,FULGL,PHACA,PHALE,PYGAD
CORBR,FALPE,GEOFO,PHORU,PODCR,TAEGU
CARCR,CORBR,GEOFO,MANVI,MERNU,TAEGU
APTFO,FULGL,MANVI,PHORU,PODCR,PYGAD
BUCRH,CALAN,CATAU,CHAPE,HALAL,HALLE
BUCRH,MERNU,MESUN,OPHHO,PICPU,PTEGU
COLLI,EGRGA,GAVST,NIPNI,PELCR,PHACA
APAVI,CALAN,CAPCA,CHAPE,GEOFO,TAEGU
COLLI,FALPE,GEOFO,MESUN,PTEGU,TAEGU
APAVI,APTFO,BUCRH,MELUN,MERNU,PICPU
CHLUN,CUCCA,MESUN,PTEGU,STRCA,TAUER
CALAN,CORBR,GEOFO,MANVI,PHORU,TAEGU
