Types	Targets	Data_type	Variant_type	CNT_gene	Gene_list	CNT_gobp	Average_p	GObp_list
TAEGU,GEOFO,CORBR,PHALE,EURHE,MESUN_TCC_div	TAEGU,GEOFO,CORBR,PHALE,EURHE,MESUN	TCC	div	72	SNX6,AZIN2,LRRK1,MISP,JAK1,KIAA0196,USP40,ERICH1,MYEF2,TERF1,AL049697.1,NNT,TANC1,MFSD2B,JMJD4,TRANK1,ENSGALT00000022126,ZNF804B,PPFIA1,FOXM1,CEP95,FAS,MYO7B,KIF2C,CEP112,ENSGALT00000021310,RIPOR3,GOLGA3,CAPN10,ALMS1,C14orf37,GATAD2A,RBM6,CASP8AP2,CEP152,HAUS3,UACA,NDC80,DAO,SIK1,BUB1,RUFY2,DHX33,SH3TC1,XRCC5,SLC7A3,CFAP57,SLC18B1,GABRA3,FGD5,ZNF518A,ALOX5,CYTL1,BLM,PXYLP1,SYCP2L,TBC1D8,MORC3,NPHP1,DDX18,TRPC6,TERT,ENSGALT00000006909,SYNRG,TDRD6,RBBP6,ZWILCH,SLC2A12,IFNGR2,ERCC6,OVAL,RNF216	3	0.0357	GO:0001325(0.0357)_formation of extrachromosomal circular DNA,GO:0090737(0.0357)_telomere maintenance via telomere trimming,GO:0090656(0.0357)_t-circle formation
TAEGU,GEOFO,CORBR,PYGAD,APTFO,ANAPL_TCC_div	TAEGU,GEOFO,CORBR,PYGAD,APTFO,ANAPL	TCC	div	131	TAOK3,CYLD,TMEM68,STON2,RAB17,ALS2,EIF4G1,CEP170B,SYNJ1,AZI2,CMTR2,ENSGALT00000020330,ENSGALT00000006421,CD82,ENSGALT00000005037,C8A,R3HDM1,ENSGALT00000039059,PLAGL1,NPAT,L3MBTL1,SFI1,C22orf23,WDR36,TACC3,GORASP1,NAALAD2,C11orf16,LY96,CCDC71,INPP5E,AL049697.1,OTOG,PIDD1,ENSGALT00000011170,TREM2,NOP16,WDR19,HPS4,TMC3,PKHD1,C19orf35,ENSGALT00000012180,MYO7B,FBXO43,MTIF2,PATL2,LRRN2,RMI1,EXOSC10,AGGF1,ENSGALT00000017862,ZCCHC6,CEMIP,FRMD4B,KIAA1383,CD4,ANO9,GATAD2A,DUSP12,USP16,PER3,BARD1,NR2C1,ADGRG1,CEP152,ALG6,XPO1,ENSGALT00000026912,CHGB,ENSGALT00000011730,DONSON,PTCD3,LARP1B,SRP72,SWT1,MAPKBP1,ENSGALT00000024486,LRIF1,MEGF9,MAP3K9,ENSGALT00000025673,ACAD11,URB2,SIK1,FAAP24,CCDC146,TET2,PPL,SOX30,COL6A3,GTSE1,DHX57,KANK4,OSBPL9,FGD5,REV3L,PTPRZ1,ELAC2,ALK,ZNF462,AVPR1B,ABCG1,GCNT7,KNTC1,RRBP1,ARHGEF18,ICK,VCAM1,FNDC9,TICAM1,CENPV,TNS3,ENSGALT00000010311,TDRD6,CNST,PHF3,PALM2,PLCG2,TRIM45,SMG6,FAN1,NOS1,C18orf25,MRPS22,COL6A1,ACAD10,POFUT1,UBE2J1,ENSGALT00000040397,WHAMM	3	0.028666667	GO:0051726(0.0202)_regulation of cell cycle,GO:0010564(0.0304)_regulation of cell cycle process,GO:0007346(0.0354)_regulation of mitotic cell cycle
TAEGU,GEOFO,CORBR,PYGAD,APTFO,PODCR_TCC_div	TAEGU,GEOFO,CORBR,PYGAD,APTFO,PODCR	TCC	div	60	IFT88,SLC28A3,TMEM156,STON2,GSC2,ASXL3,RPA1,CFC1,C2orf71,DNAH3,PLXNB1,MMRN1,L3MBTL1,TACC3,LY96,LTV1,HJURP,TERF2,HPS4,IFNAR1,TLDC1,STOX1,NDUFAF1,USP6NL,STYXL1,GATAD2A,INSR,CXorf57,CEP152,TET1,AP5Z1,NOL11,GYPC,LRMP,MLF1,FAM129A,AFTPH,SOX30,ABCC6,NASP,ALK,ENSGALT00000038445,USO1,MATN2,ASCC2,KNTC1,WWC3,MANBA,ENSGALT00000032989,SLC4A1AP,VWA2,PALM2,GRSF1,TTC34,WDR35,ERCC6,MYOT,NOS1,SYCP2,ENSGALT00000019706	1	0.0107	GO:0033043(0.0107)_regulation of organelle organization
TAEGU,GEOFO,CUCCA,GALGA,MELGA,ANAPL_TCC_div	TAEGU,GEOFO,CUCCA,GALGA,MELGA,ANAPL	TCC	div	254	CD14,SLCO1C1,C3orf67,TTI1,CCNB2,AGTR1,ARCN1,TMEM156,OLFM4,GTF2IRD1,SLC20A2,DRC7,ENSGALT00000032228,MOV10L1,PROM1,HIVEP1,TIPIN,SPG11,BRIP1,CD274,C2orf71,ADORA3,DAZAP1,LCP2,DNAH3,MASTL,AEN,IFNGR1,METTL22,ZNF598,ACOD1,NPAT,CEP78,CRYZL1,NIPAL2,CDHR5,DUS1L,SLC6A17,IQCE,DNAH1,CD101,BUB1B,APOB,TTC12,RNF8,ETV4,KNDC1,TGS1,PHTF1,TERF1,DDHD2,CCDC71,TRPM2,STK36,EARS2,MYCBPAP,MYD88,OTOG,MSTO1,TASP1,TMEM69,HJURP,TMPRSS12,ENSGALT00000011170,SDC2,C11orf24,NDOR1,HPS4,ENSGALT00000009570,CDC25A,RABEPK,TNS1,P3H1,CCSER1,RGSL1,ANKRD31,ACE2,C19orf35,ATAD5,SAV1,CREBRF,FTO,TNFRSF11B,SLC22A5,ENSGALT00000036810,CEP112,FAR1,SLC2A5,COIL,WDR18,PIRT,RGL1,LPCAT2,NCK2,RMI1,SDHD,METTL11B,TEX14,ENSGALT00000036845,COL27A1,FRRS1,CCDC40,ENSGALT00000036393,FDXACB1,ENSGALT00000011662,RP1,ENSGALT00000003325,PLSCR1,C14orf37,ATP6V0A2,TEKT2,ENSGALT00000007505,NME7,REV1,ZHX3,SOS2,TRAFD1,CNDP1,CCDC186,HRASLS,CASP8AP2,THOC5,CDHR2,CFAP100,TMEM131L,MRPL50,C8B,ASPH,MYBBP1A,LARP1B,MRVI1,MAPKBP1,ENSGALT00000017233,FAM3D,NOL11,MEGF9,CAPS2,RPS6KL1,TICRR,ENSGALT00000026567,TLR7,PIGW,C10orf12,SNX20,ENSGALT00000012241,AP4B1,DHX32,CCDC146,POC5,SH3TC2,TMLHE,HMOX1,RPE,RNF128,ENSGALT00000005673,CASC1,COL6A3,XKR9,AKT3,C12orf63,KIF18A,EVC2,ENSGALT00000027769,GEN1,LHFPL2,LRRC45,SETD2,CFAP43,DEPDC1,TMEM26,ENSGALT00000034695,HCLS1,ENSGALT00000010667,CFAP70,REV3L,AAK1,LEKR1,ELAC2,ALOX5,URB1,ARAP3,GRIN3A,LAPTM4B,ENSGALT00000036913,CCP110,SYCP2L,LARP4B,ENSGALT00000038596,GPATCH3,KNTC1,ARHGAP19,CEP350,CEP290,ARHGAP39,ACSBG2,UNC93A,GON4L,CTDSPL2,TMEM81,KIAA1377,MYOZ1,LIMCH1,ACSM3,EDN3,EXO1,NBL1,LEPR,PLCH1,WDR66,ENSGALT00000006909,TNS3,ADAM10,ENSGALT00000010311,PTPRC,SLC2A6,NAV2,TDRD6,PHF3,CCDC198,NBN,SYNM,ITGB5,VSIG10,FASLG,SCNN1D,WSCD1,CCDC77,GPR141,TTC34,YDJC,ENSGALT00000027531,FGFR1OP,REXO1,ENSGALT00000040089,MDH1B,CRAMP1,MDM1,TEX2,COL6A1,OFD1,RAG1,CENPI,SHCBP1,ACAD10,GPR35,PLB1,SAMSN1,RNF216,ZNF185,DD1CR,SYCP2,CA6,TBCCD1,DNAH10	2	0.002155	GO:0003341(0.00248)_cilium movement,GO:0036159(0.00183)_inner dynein arm assembly
TAEGU,GEOFO,EGRGA,CALAN,CHAPE,CAPCA_TCC_div	TAEGU,GEOFO,EGRGA,CALAN,CHAPE,CAPCA	TCC	div	20	SPG11,TNR,STMN1,TERF1,RPH3A,NNT,TERF2,AHSG,CEP95,KDM5B,C14orf37,EDN2,AHI1,CASP9,TMEM81,ENSGALT00000039549,CORO2A,NAV2,REXO1,CD38	11	0.006534545	GO:1905777(0.0018)_regulation of exonuclease activity,GO:0032074(0.0377)_negative regulation of nuclease activity,GO:1905778(0.0018)_negative regulation of exonuclease activity,GO:0032213(0.0018)_regulation of telomere maintenance via semi-conservative replication,GO:1902576(0.0108)_negative regulation of nuclear cell cycle DNA replication,GO:0032214(0.0018)_negative regulation of telomere maintenance via semi-conservative replication,GO:0031627(0.00539)_telomeric loop formation,GO:1904533(0.00539)_regulation of telomeric loop disassembly,GO:1905838(0.0018)_regulation of telomeric D-loop disassembly,GO:1904534(0.0018)_negative regulation of telomeric loop disassembly,GO:1905839(0.0018)_negative regulation of telomeric D-loop disassembly
TAEGU,GEOFO,FALPE,MESUN,PTEGU,COLLI_TCC_div	TAEGU,GEOFO,FALPE,MESUN,PTEGU,COLLI	TCC	div	19	SYK,IL4I1,PLA2R1,KRT15,SPIK5,ENSGALT00000010795,P3H1,ENSGALT00000006918,TFAM,GATAD2A,SOS2,HERPUD1,ENSGALT00000034423,RTKN2,ARHGAP10,CCDC88C,COPA,TDRD6,TP53BP1	1	0.0165	GO:0090237(0.0165)_regulation of arachidonic acid secretion
TAEGU,GEOFO,GALGA,MELGA,ANAPL,TINMA_TCC_div	TAEGU,GEOFO,GALGA,MELGA,ANAPL,TINMA	TCC	div	431	CD14,AASDH,FAM78B,PTAFR,ENSGALT00000037769,TRAK1,ENSGALT00000010090,SUCO,PEX1,TMEM120B,PHC3,SMCR8,DHX29,MILR1,BRCA2,AARS2,EPRS,HEATR5A,RPS19BP1,PLA2R1,OLAH,LINS1,SLC16A4,TDRD9,CAMKK1,ALS2,PDCD11,ITGA8,HIVEP1,BRD8,TMC2,SPG11,KANSL1L,GSTT1,METTL16,KIF27,PTX3,RAD51D,TMEM94,C2orf71,RTN1,KIAA1549,PPP1R3B,TNR,LCP2,PNPLA7,WDR78,TRMT5,PCDH8,DNAH3,FAM83A,ENSGALT00000028086,MASTL,NFATC2,SS2,RNF222,RCSD1,SLC15A5,CEP135,ENSGALT00000009661,TMED5,DNAH1,RTCA,METTL13,SIMC1,ENSGALT00000036939,KAZALD1,CD101,H6PD,BUB1B,APOB,TTC12,ENSGALT00000002248,ITGB2,ENSGALT00000002873,KNDC1,CBL,TGS1,HEATR1,CYP20A1,MUC6,RASEF,LY96,ENSGALT00000006570,MED12,TGM6,ENSGALT00000020087,CCDC71,MMP17,ENSGALT00000001863,MYCBPAP,RPH3A,OTOG,C6,CASC5,CAPN6,ARNT2,ENSGALT00000000029,TMEM69,ENSGALT00000040348,ST6GAL1,FUCA2,CDC7,CEP70,ZFAND1,NDOR1,ZNF469,GALC,TAGAP,ADGRG6,COQ3,SH3YL1,CHRM3,ENO4,SEC23IP,AP4E1,MC2R,ANGEL1,CDCA7L,PGAM1,RABEPK,ENSGALT00000030336,IBSP,GGT5,YEATS2,MYCN,NID1,DHX8,ENSGALT00000036538,SHMT1,LECT2,RGSL1,PKHD1,FAS,CLK3,C19orf35,LCMT1,HEATR6,IL5,ATAD5,UBAP1L,DNAAF4,HSD11B1,MYO7B,AP3D1,CD164,MRPL37,PEPD,QSOX2,PNO1,RALGAPA2,LSP1,PATL2,TSG101,RGR,GMNN,NPNT,DNAJC1,PTPRK,ATP7B,IL21,RGL1,LRRN4,ENSGALT00000040293,ZCCHC11,CHRM5,MORN3,MSLN,ENSGALT00000003167,FRMD4B,FRRS1,FHDC1,CCDC40,AKR1B10L2,IL2RA,GLCE,ENSGALT00000036393,BCAS1,BAIAP2L2,NIM1K,C14orf37,RPAP1,STYXL1,RIMBP2,STK10,GATAD2A,ENSGALT00000035359,GNL3,SNRPA1,WDR4,ENSGALT00000019858,HAVCR1,ORC2,HOXD4,POT1,SEC31B,CD276,CEP41,SKA3,MCM4,TRAFD1,CHUK,GPR157,ITGA4,ENSGALT00000026337,KIF7,NCOA4,MPHOSPH8,WDR53,OTUD4,MYOCD,ERAL1,SLC7A6OS,CEP152,MEOX1,CDHR2,ENSGALT00000032705,C15ORF23,CCNDBP1,TMEM186,RNF169,OAT,TTC8,PNP,NAPEPLD,CARHSP1,MYBBP1A,PTCD3,ENSGALT00000035169,PPP2R3A,MRVI1,MAPKBP1,FAM196B,WDR72,ENSGALT00000024486,NOL11,PNLIP,C3orf38,NDC80,LITAF,MEGF9,GSAP,CCDC141,CCDC14,MCM9,FUNDC2,GLIPR1,EFCAB7,C4BPA,SMYD2,CBLL1,TNFSF15,ENDOV,BUB1,POLR1D,CCDC13,BBX,GYPC,KLF11,MTTP,ASNSD1,CASP9,L2HGDH,XRCC5,SLC46A1,LRRC6,CCDC146,CFAP69,LIFR,SH3TC2,PPL,ENSGALT00000019618,CYP2R1,BRDT,IGF2BP1,MKL2,RALGAPA1,TMEM39B,ENSGALT00000005673,CASC1,KIF24,TLR15,PKD1L3,ARHGAP11A,FNDC1,COL6A3,DRC3,PQLC2,ZBTB21,SEMA5B,LPL,KIF18A,CPM,ABCC6,OSBPL9,INTS13,CFAP43,CRB1,VEPH1,NRG1,CFAP70,SURF2,POLG,CRLF2,NDRG3,RAB11FIP5,RNF168,CCDC18,KEL,ARHGEF37,URB1,HIPK3,AIFM2,ENTPD4,RHNO1,IGF2R,LRRCC1,USO1,GAL3ST2,TMEM252,GGACT,C8orf33,RFWD3,CCP110,CSRNP1,CFAP47,GSR,ABCG1,NCAPD2,NMUR2,ALPK1,ENSGALT00000038597,GPATCH3,KNTC1,WWTR1,SPG7,ACD,ENSGALT00000012034,ERN1,CEP290,ZNF507,ENSGALT00000005772,TMEM179,ADCK2,PARP9,MMP13,PDPR,MORC3,IMPG2,GON4L,C1orf112,NIFK,RPS6KA5,MICALL1,MANBA,ABCC2,NEXMIF,ENSGALT00000023636,TFRC,CCDC181,CIP2A,SLC17A9,NUP153,GDPD2,TERT,ENSGALT00000014850,HELB,CORO2A,ENSGALT00000025752,BPGM,TNS3,NT5E,ADIPOQ,BTBD8,SNAPC4,ENSGALT00000010311,COLEC12,DISP3,TSEN2,PTPRC,C1R,ZNF407,FAM160B1,ENSGALT00000012050,RXRG,NAV2,ENSGALT00000034196,GPR149,STARD9,NBN,NSUN7,C8orf48,SMOX,IL1R2,CD274,ENSGALT00000021504,ITGB5,GRSF1,LRRN3,OTOP1,WSCD1,CCDC77,ENSGALT00000026420,CD40,SFXN4,ANKS4B,ENSGALT00000027531,FGFR1OP,ALDH1A1,COQ4,MXRA5,IFNGR2,ENSGALT00000040089,ADCY7,TXNDC5,DDX11,MDM1,ADAD1,LGSN,CNTN2,GLIPR1L,OFD1,NFRKB,MYO19,PLB1,PTGS1,TP53BP1,ZNF185,SYCP2,CA6,PPEF1	6	0.03085	GO:2000721(0.0219)_positive regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation,GO:0070198(0.0394)_protein localization to chromosome, telomeric region,GO:0036159(0.029)_inner dynein arm assembly,GO:0007017(0.0124)_microtubule-based process,GO:0030890(0.0362)_positive regulation of B cell proliferation,GO:0051054(0.0462)_positive regulation of DNA metabolic process
TAEGU,GEOFO,MANVI,MERNU,PICPU,BUCRH_TCC_div	TAEGU,GEOFO,MANVI,MERNU,PICPU,BUCRH	TCC	div	132	SLC45A3,CD14,ENSGALT00000011251,RFFL,FAM208A,PI4KA,MTHFD2,CNIH1,CEPT1,DRC7,ZNF831,FAM187A,UNC80,FAXDC2,ENSGALT00000002416,SMC4,CCDC67,WDR78,IBA57,EVA1C,WBP4,IMMT,SLC29A4,CACNA1I,ENSGALT00000034019,CBL,BRAT1,ATRIP,MARS2,TGM6,PRPF4,MYCBPAP,CASC5,SURF6,SBNO2,CCT8,SLC18A2,XPO6,TMPRSS12,LPO,TERF2,NKTR,JMJD4,CDC25A,ARMC4,PPFIA1,PKHD1,ENSGALT00000014426,C19orf35,IL5,ERCC6L,WRAP73,CEP57,TEX14,JAG1,MYO1H,NUDT12,NCSTN,COPE,CD276,MED17,HRASLS,KSR1,C15ORF23,C1QA,PDZK1,NAE1,NPEPPS,FAM46D,PHF11,SPATS2L,NDC80,GLOD5,BUB1,SCN3B,TTF2,FAM129A,CLSPN,CETP,CTTN,PBX4,MTMR9,PRPF40A,HNRNPM,RIC3,SETD2,DEPDC1,NRG1,CFAP70,ENSGALT00000012094,AAK1,ELAC2,KEL,ENSGALT00000004323,ZNF518A,SMEK2,ZNRF3,BLM,AHSA2,PAPOLG,TMEM252,CNGB1,DNA2,GCLM,NCAPD3,GPATCH3,MYBL2,LIG3,NPHP1,TMEM81,ETAA1,AGBL1,BHLHE40,SLC39A3,COPA,SNAPC4,TJP2,KIAA1217,SYNRG,FAM126B,TDRD6,GPR149,IFT80,PTPN12,ENSGALT00000027531,C1orf168,MXRA5,SELENBP1,FAN1,PTAR1,USP10,TP53BP1	1	0.00133	GO:0000075(0.00133)_cell cycle checkpoint
TAEGU,GEOFO,MERNU,PICPU,BUCRH,APTFO_TCC_div	TAEGU,GEOFO,MERNU,PICPU,BUCRH,APTFO	TCC	div	8	RANBP3L,PKHD1,SKA3,OTUD4,ASPH,ENSGALT00000002607,LIMCH1,SVOPL	2	0.0272	GO:0051493(0.0194)_regulation of cytoskeleton organization,GO:0070507(0.035)_regulation of microtubule cytoskeleton organization
TAEGU,GEOFO,MERNU,PICPU,BUCRH,COLST_TCC_div	TAEGU,GEOFO,MERNU,PICPU,BUCRH,COLST	TCC	div	90	C3orf67,RFFL,ENSGALT00000041245,TTI1,MARCO,OTUD3,BRCA2,MFSD4A,UBXN11,WDR52,EXOC3L4,SPG11,CHORDC1,CAP2,NMI,UBASH3A,PEX11A,VCPIP1,BRAT1,ZMYND12,ENSGALT00000020087,PRR14L,NCAPG2,FARSB,POLR3G,WDSUB1,OPN4,HJURP,TERF2,ENSGALT00000008037,METTL3,CDC25A,RANBP3L,PINK1,STRA8,HEATR6,SLC39A10,PRKAA2,IL21,COIL,COMP,ENSGALT00000030489,FRMD4B,MYO1H,GGT1,ODF2L,KIF7,MYOCD,KSR1,C15ORF23,PDZK1,GCLM,PHF11,BUB1,GRXCR1,ALS2CL,INPP5F,ENSGALT00000028225,CORO1C,PBX4,IL13RA2,NUSAP1,PRPF40A,HERPUD1,HNRNPM,SERPINB1,DEPDC1,HCLS1,XRN1,ENSGALT00000033177,BLM,CPA6,RFWD3,ISCA2,NCAPD3,GPATCH3,PARP9,LIG3,NPHP1,EDRF1,ORC1,SLC39A3,SLC39A13,COPA,TELO2,ZDHHC1,ENSGALT00000027531,USP10,NARFL,IFIH1	2	0.019535	GO:0008156(0.0349)_negative regulation of DNA replication,GO:2000104(0.00417)_negative regulation of DNA-dependent DNA replication
TAEGU,GEOFO,PICPU,GALGA,MELGA,ANAPL_TCC_div	TAEGU,GEOFO,PICPU,GALGA,MELGA,ANAPL	TCC	div	312	AASDH,GP9,FIGNL1,CENPC1,COBLL1,PLEKHH1,AGTR1,ZGPAT,MARCO,PPP4R1L,SEMA3E,RPS19BP1,SRRM1,IL18R1,OLAH,GTF2IRD1,MIER1,UBXN11,HTR1D,EIF4G1,ITGA8,RAD21L1,HIVEP1,FAXDC2,EMP2,THADA,C6orf174,KRT15,KIF27,PTX3,CD274,ENSGALT00000002416,SMC4,GUCY2C,ADORA3,CKAP5,TNR,VILL,ARMC9,RAI14,WDR78,FABP2,PPP1R12A,ENSGALT00000015652,STXBP4,RNF222,SLC2A9,IMMT,PLEK2,TMEM63A,CEP135,KIAA1211,TA3,ACOD1,PRDX1,DUS1L,SFI1,IQCE,TACC2,FKBP6,UBASH3A,APOB,PGM3,CKB,NT5C3B,RFT1,C1orf116,AC100868.1,MUC6,ENSGALT00000020087,MDM4,NCOR1,TRPM2,MYCBPAP,RUBCNL,HRH1,MX1,GEMIN6,C6,CFAP161,PIWIL1,SBNO2,TRAF1,FDXR,KCTD18,WRN,ADAM17,SDC2,KIAA1551,ROS1,NDOR1,AKAP5,TAGAP,SLK,AURKAIP1,SH3YL1,TTC39A,ENSGALT00000017786,ENO4,ANGEL1,ENSGALT00000008607,RABEPK,AHSG,MBTPS1,GGT5,MLH3,MYOM1,SH3BP4,IDUA,RGSL1,ANKRD31,ZC3H18,CFAP54,C19orf35,HEATR6,MGME1,FAH,DNAAF4,FBXO43,WNT8A,TFAM,ARHGAP6,ENSGALT00000036810,GEMIN4,RRP12,VPS54,PATL2,NKAIN1,ECHDC3,NPY4R,ATP7B,LRRN2,ST6GALNAC1,CROT,P3H2,CCNA1,ENSGALT00000031636,TMEM173,IRF8,RPS6KC1,MSLN,CEP57,TEX14,PCDH9,CEMIP,FRRS1,GFI1B,ENSGALT00000039321,ENSGALT00000003325,C14orf37,RANGAP1,ENSGALT00000031754,BTD,PLPP7,HAVCR1,WDPCP,OLFML1,BARD1,TRAFD1,ZNF518B,GPR157,KIF7,NCOA4,MPHOSPH8,HRASLS,CTSH,TRIT1,DENND1A,CASP8AP2,IL2RG,ADGRG1,CEP152,CDHR2,C15ORF23,KIAA0146,OAT,ENSGALT00000031307,C8B,MFSD9,TNFRSF4,ASPH,SHROOM3,TMX3,IPCEF1,UACA,ENSGALT00000024486,TP53I3,GOLGB1,MEGF9,SETX,PLA2G4F,MLPH,UBR4,ENSGALT00000007184,CBR1,ITSN2,ACAN,DHX32,SMC2,SERPINE3,CFAP69,SH3TC2,TTF2,TXNRD3,RNF128,RAPGEF4,CLSPN,GOLGA2,CASC1,SLC7A3,COL6A3,F13B,CCK,ASPM,GUF1,NUSAP1,HKDC1,C12orf63,GTSE1,ZADH2,KIF18A,ENTPD1,SETD2,NRAP,VEPH1,MYOM3,STN1,FGD5,ENSGALT00000010667,CFAP70,MICALL2,POLG,PMS2,ENTPD4,CPA6,GPC4,SPAG16,DCBLD2,CPAMD8,SYCP2L,AVPR1B,TRH,NCAPD2,PALMD,TBC1D8,NCAPD3,ALPK1,ENSGALT00000038597,MYBL2,CEP290,SULF1,PARP9,VCAM1,ESF1,GON4L,HMG20A,SLC30A10,EIF4EBP1,TMEM81,KIAA1377,PSMD13,STAGL,CCDC181,CFAP65,BEAN1,BANP,ETAA1,EXO1,AKAP12,TRPC6,DDX27,LEPR,PLCH1,ENSGALT00000006909,PSTK,RSPH9,TNS3,NT5E,VWA2,MSH2,ATG2B,SNAPC4,STEAP2,PTPRC,KIAA1217,TDRD6,GPR149,TMEM241,KDELC2,TTC34,MYO9A,SCLY,MDM1,TCTN2,SCML4,LGSN,TEX2,OFD1,SLC9B2,PMEPA1,PDCD7,MYO19,USP53,PLB1,RNF216,PHAX,UBE2J1,CA6,AATF,FAM135A,TBCCD1,DNAH10	12	0.012860367	GO:0007017(0.0135)_microtubule-based process,GO:0010032(0.00162)_meiotic chromosome condensation,GO:0048285(0.0046)_organelle fission,GO:0000280(0.0142)_nuclear division,GO:0000003(0.0277)_reproduction,GO:0022402(0.00836)_cell cycle process,GO:1903047(0.0494)_mitotic cell cycle process,GO:0022414(0.0272)_reproductive process,GO:0051321(4.14e-05)_meiotic cell cycle,GO:1903046(0.000213)_meiotic cell cycle process,GO:0140013(0.00335)_meiotic nuclear division,GO:0007076(0.00414)_mitotic chromosome condensation
TAEGU,MERNU,PICPU,BUCRH,CHAVO,BALRE_TCC_div	TAEGU,MERNU,PICPU,BUCRH,CHAVO,BALRE	TCC	div	9	CARF,TMED6,FAS,NUDT12,ASPH,HERPUD1,ZNF518A,ACER1,PARP9	1	0.0342	GO:0034356(0.0342)_NAD biosynthesis via nicotinamide riboside salvage pathway
TAEGU,TYTAL,PELCR,EGRGA,NIPNI,PHACA_TCC_div	TAEGU,TYTAL,PELCR,EGRGA,NIPNI,PHACA	TCC	div	10	IRF1,MAP3K21,FAS,TNFRSF8,FAM173B,PCM1,FADS2,ENSGALT00000029971,TLR15,ENSGALT00000020814	1	0.00313	GO:0071260(0.00313)_cellular response to mechanical stimulus
TYTAL,CHLUN,TAUER,GALGA,MELGA,ANAPL_TCC_div	TYTAL,CHLUN,TAUER,GALGA,MELGA,ANAPL	TCC	div	48	MAOA,BRCA2,ZNF106,UBE2Q2,KIF27,BRIP1,PIGV,DNAH1,CEP104,WRN,ATP8B1,ENSGALT00000030524,NSMAF,LRRN4,TFG,SH3BP2,AGGF1,MTF1,ENSGALT00000014307,GATAD2A,RBM43,CA4,RECQL,NEMP2,ANKRD16,KCTD3,SETX,MAP3K9,RPS6KL1,EFHB,ZNF217,NASP,PPHLN1,NCAPD3,ENSGALT00000025563,HSF2BP,MMS22L,ENSGALT00000039549,ATP11B,CLEC16A,ADCY7,PTAR1,EPB41,MICALCL,SACS,COL6A1,UBE2J1,GHITM	3	0.0255	GO:0032392(0.035)_DNA geometric change,GO:0032508(0.0179)_DNA duplex unwinding,GO:0006302(0.0236)_double-strand break repair
APAVI,HALLE,HALAL,CATAU,PHALE,EURHE_TCC_all	APAVI,HALLE,HALAL,CATAU,PHALE,EURHE	TCC	all	17	DOK7,EGF,CEP135,TGS1,POMT1,IFT52,ADGRG2,RGL1,ITCH,RP1,C5orf42,DNTT,BLM,MDM2,LTBP2,SMURF1,KCTD17	9	0.028436667	GO:0044782(0.0242)_cilium organization,GO:0060271(0.0209)_cilium assembly,GO:1905515(0.0237)_non-motile cilium assembly,GO:1902017(0.0223)_regulation of cilium assembly,GO:0045724(0.00193)_positive regulation of cilium assembly,GO:1902857(0.0399)_positive regulation of non-motile cilium assembly,GO:0044257(0.048)_cellular protein catabolic process,GO:0051603(0.0308)_proteolysis involved in cellular protein catabolic process,GO:0010498(0.0442)_proteasomal protein catabolic process
APAVI,HALLE,HALAL,CATAU,PHORU,PODCR_TCC_all	APAVI,HALLE,HALAL,CATAU,PHORU,PODCR	TCC	all	18	PROM2,MYO9B,OXSR1,ABCC1,MTOR,FNIP1,TMTC4,IGFBP3,USP6NL,PLSCR1,MICU3,ENSGALT00000029971,TBC1D8,ACD,LEPR,SYNM,DPY19L4,MSMB	3	0.006332667	GO:0065009(0.0178)_regulation of molecular function,GO:0050790(0.0006349999999999999)_regulation of catalytic activity,GO:0051336(0.000563)_regulation of hydrolase activity
